Driver_ID,Ride_Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,Avg_VTAT,Avg_CTAT,Cancelled_Rides_by_Customer,Reason_for_Cancelling_by_Customer,Cancelled_Rides_by_Driver,Reason_for_Cancelling_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating
500153,23-01-2024,21:00:00,CNR4422948,Success,976638,Bike,Area-4,Area-42,1.28,3.7,0,NULL,0,NULL,0,NULL,988.65,Wallet,37.92,3.5,3.8
500198,03-01-2024,12:00:00,CNR1039726,Cancelled by Customer,610311,eBike,Area-36,Area-43,0,0,1,Driver asked to cancel,0,NULL,0,NULL,0,NULL,0,0,0
500110,09-01-2024,02:00:00,CNR2955705,Success,632496,Auto,Area-34,Area-11,2.52,6.39,0,NULL,0,NULL,0,NULL,283.78,Card,30.16,4.4,3.5
500179,25-01-2024,16:00:00,CNR5645592,Cancelled by Customer,237235,Mini,Area-16,Area-17,0,0,1,AC is not working,0,NULL,0,NULL,0,NULL,0,0,0
500154,20-01-2024,12:00:00,CNR3704990,Success,172132,Prime Sedan,Area-17,Area-9,17.71,11.72,0,NULL,0,NULL,0,NULL,1242.77,Cash,8.73,4.7,4.4
500130,29-01-2024,11:00:00,CNR8269111,Success,320861,Bike,Area-18,Area-19,14.63,6.9,0,NULL,0,NULL,0,NULL,1815.41,Cash,32.08,3.5,4
500173,04-01-2024,22:00:00,CNR6803191,Success,110139,Bike,Area-46,Area-28,3.13,28.41,0,NULL,0,NULL,0,NULL,769.97,Card,34.86,3.3,3.1
500138,19-01-2024,08:00:00,CNR1387882,Success,687080,Prime SUV,Area-7,Area-23,17.8,12.78,0,NULL,0,NULL,0,NULL,1735.98,Card,31.41,3.3,4.9
500200,18-01-2024,14:00:00,CNR0739888,Success,140605,Mini,Area-45,Area-7,17.31,7.45,0,NULL,0,NULL,0,NULL,1600.92,Card,41.01,3.9,3.6
500139,10-01-2024,12:00:00,CNR0138926,Success,220944,Auto,Area-35,Area-22,17.66,8.58,0,NULL,0,NULL,0,NULL,1213.31,UPI,29.45,5,3.1
500102,14-01-2024,09:00:00,CNR4918104,Success,877991,eBike,Area-35,Area-44,15,6.71,0,NULL,0,NULL,0,NULL,1265.15,Cash,22.13,4.9,4.8
500159,13-01-2024,19:00:00,CNR5636516,Success,696750,Bike,Area-48,Area-12,6.72,16.89,0,NULL,0,NULL,0,NULL,1180.97,UPI,1.02,3.6,3.9
500156,20-01-2024,20:00:00,CNR4657976,Success,451470,Bike,Area-43,Area-41,2.77,28.61,0,NULL,0,NULL,0,NULL,337.34,Cash,12.51,3.6,4.6
500155,11-01-2024,10:00:00,CNR9674857,Success,787926,Prime Plus,Area-26,Area-16,14.06,26.89,0,NULL,0,NULL,0,NULL,476.74,Wallet,43.16,4.8,4.6
500193,03-01-2024,03:00:00,CNR5911455,Success,954596,Bike,Area-49,Area-29,14.67,15.64,0,NULL,0,NULL,0,NULL,1500.13,Wallet,41.7,4.1,4.8
500193,20-01-2024,04:00:00,CNR2267562,Success,452161,Prime Sedan,Area-19,Area-16,7.07,16.66,0,NULL,0,NULL,0,NULL,1427.52,Cash,7.78,3.5,4.4
500142,18-01-2024,16:00:00,CNR4542495,Cancelled by Customer,600149,Mini,Area-49,Area-37,0,0,1,Driver is not moving towards pickup location,0,NULL,0,NULL,0,NULL,0,0,0
500148,16-01-2024,00:00:00,CNR2388577,Cancelled by Driver,557007,Prime Sedan,Area-32,Area-15,0,0,0,NULL,1,More than permitted people in there,0,NULL,0,NULL,0,0,0
500126,02-01-2024,05:00:00,CNR3677899,Success,795205,Bike,Area-26,Area-38,1.51,19.64,0,NULL,0,NULL,0,NULL,789.25,Card,7.65,3.9,3.1
500144,20-01-2024,09:00:00,CNR3737820,Success,335113,Prime Sedan,Area-35,Area-4,13.35,23.66,0,NULL,0,NULL,0,NULL,438.75,Cash,32.94,4.5,4.9
500164,27-01-2024,12:00:00,CNR1165267,Success,220096,eBike,Area-39,Area-48,15.78,5.75,0,NULL,0,NULL,0,NULL,1172.8,Wallet,16.24,4.2,4.9
500113,17-01-2024,22:00:00,CNR9158263,Cancelled by Customer,143064,Prime SUV,Area-8,Area-37,0,0,1,AC is not working,0,NULL,0,NULL,0,NULL,0,0,0
500200,23-01-2024,17:00:00,CNR4353881,Incomplete,260422,eBike,Area-41,Area-30,0,0,0,NULL,0,NULL,1,Vehicle Breakdown,0,NULL,0,0,0
500129,08-01-2024,12:00:00,CNR7928544,Cancelled by Customer,357420,Prime SUV,Area-18,Area-21,0,0,1,Driver is not moving towards pickup location,0,NULL,0,NULL,0,NULL,0,0,0
500119,12-01-2024,21:00:00,CNR8246308,Success,370902,Prime SUV,Area-14,Area-23,7.47,26.53,0,NULL,0,NULL,0,NULL,1898.72,Cash,35.36,3.6,3
500186,11-01-2024,07:00:00,CNR7476647,Success,355123,eBike,Area-15,Area-26,6.82,17.87,0,NULL,0,NULL,0,NULL,1504.57,UPI,24.19,4.1,3.9
500140,16-01-2024,00:00:00,CNR7221115,Cancelled by Driver,874483,Prime Plus,Area-12,Area-13,0,0,0,NULL,1,More than permitted people in there,0,NULL,0,NULL,0,0,0
500178,12-01-2024,19:00:00,CNR7952112,Success,232731,Bike,Area-1,Area-46,6.21,29.25,0,NULL,0,NULL,0,NULL,1743.5,Wallet,28.11,4.4,3.3
500114,05-01-2024,09:00:00,CNR8544109,Success,177680,Mini,Area-5,Area-26,11.96,20.91,0,NULL,0,NULL,0,NULL,216.1,Card,8.43,4.6,4.9
500145,06-01-2024,01:00:00,CNR5456739,Success,696251,Prime Sedan,Area-38,Area-28,12.8,18.68,0,NULL,0,NULL,0,NULL,461.5,Cash,37.26,4.9,3.4
500112,07-01-2024,16:00:00,CNR2514640,Success,576086,Prime SUV,Area-19,Area-45,2.35,7.77,0,NULL,0,NULL,0,NULL,1617.62,Card,13.96,4.6,4.2
500148,19-01-2024,03:00:00,CNR1212107,Success,230394,Mini,Area-37,Area-19,9.91,9.82,0,NULL,0,NULL,0,NULL,903.63,Cash,20.72,3.5,4.1
500167,19-01-2024,10:00:00,CNR7602685,Success,382602,Prime SUV,Area-49,Area-44,11.95,23.13,0,NULL,0,NULL,0,NULL,592.41,Wallet,9.58,4,3.9
500133,28-01-2024,02:00:00,CNR8944311,Success,519904,eBike,Area-32,Area-19,16.46,16.95,0,NULL,0,NULL,0,NULL,1941.86,Wallet,23.29,3.6,3.6
500149,22-01-2024,22:00:00,CNR8084056,Success,313446,Auto,Area-29,Area-49,6.07,4.8,0,NULL,0,NULL,0,NULL,106.3,Card,15.11,4.8,4
500136,07-01-2024,18:00:00,CNR3042819,Success,406039,eBike,Area-10,Area-32,10.67,8.93,0,NULL,0,NULL,0,NULL,1124.97,Wallet,41.9,5,3.5
500131,09-01-2024,03:00:00,CNR9588274,Cancelled by Driver,102689,Prime SUV,Area-33,Area-18,0,0,0,NULL,1,The customer was coughing/sick,0,NULL,0,NULL,0,0,0
500104,13-01-2024,17:00:00,CNR8568443,Cancelled by Driver,297816,Prime Sedan,Area-25,Area-30,0,0,0,NULL,1,Customer related issue,0,NULL,0,NULL,0,0,0
500170,25-01-2024,09:00:00,CNR3843493,Incomplete,138817,Mini,Area-42,Area-10,0,0,0,NULL,0,NULL,1,Customer Demand,0,NULL,0,0,0
500161,22-01-2024,10:00:00,CNR9318090,Success,592296,Auto,Area-42,Area-10,15.85,8.69,0,NULL,0,NULL,0,NULL,690.7,Wallet,31.54,3.8,3.2
500121,14-01-2024,12:00:00,CNR6845626,Success,555052,Auto,Area-15,Area-48,19.59,23.05,0,NULL,0,NULL,0,NULL,633.96,Cash,35.49,3.2,3.3
500197,02-01-2024,23:00:00,CNR3034246,Success,501126,Bike,Area-12,Area-6,12.77,7.98,0,NULL,0,NULL,0,NULL,545.26,UPI,45.73,3.3,3.9
500154,29-01-2024,10:00:00,CNR0896143,Success,362246,eBike,Area-41,Area-28,9.68,9.76,0,NULL,0,NULL,0,NULL,793.66,UPI,49.97,4.7,3.2
500151,25-01-2024,12:00:00,CNR2608308,Cancelled by Driver,620856,eBike,Area-4,Area-39,0,0,0,NULL,1,The customer was coughing/sick,0,NULL,0,NULL,0,0,0
500144,10-01-2024,19:00:00,CNR6366676,Cancelled by Driver,777737,eBike,Area-41,Area-7,0,0,0,NULL,1,Personal & Car related issues,0,NULL,0,NULL,0,0,0
500112,14-01-2024,04:00:00,CNR7031934,Success,626169,Bike,Area-35,Area-24,18.36,25.08,0,NULL,0,NULL,0,NULL,1622.65,UPI,13.59,4.6,4
500187,05-01-2024,21:00:00,CNR4072663,Cancelled by Driver,929090,Auto,Area-36,Area-24,0,0,0,NULL,1,More than permitted people in there,0,NULL,0,NULL,0,0,0
500168,01-01-2024,14:00:00,CNR2137236,Success,126240,Mini,Area-44,Area-15,12.77,28.35,0,NULL,0,NULL,0,NULL,1289.04,Wallet,17.07,4.2,4.3
500151,30-01-2024,21:00:00,CNR3419340,Cancelled by Driver,489033,Mini,Area-9,Area-25,0,0,0,NULL,1,More than permitted people in there,0,NULL,0,NULL,0,0,0
500191,26-01-2024,01:00:00,CNR7140449,Success,566297,Mini,Area-24,Area-14,19.06,25.81,0,NULL,0,NULL,0,NULL,1956.79,UPI,5.87,4.4,4.1
500108,03-01-2024,14:00:00,CNR3118466,Success,449709,Prime SUV,Area-2,Area-4,5.63,4.65,0,NULL,0,NULL,0,NULL,453.96,Card,28.66,3.1,4.5
500193,10-01-2024,22:00:00,CNR3190811,Success,127032,eBike,Area-12,Area-8,3.5,11.39,0,NULL,0,NULL,0,NULL,567.47,Card,39.63,4.2,3
500181,18-01-2024,23:00:00,CNR5747515,Incomplete,790909,Prime SUV,Area-3,Area-47,0,0,0,NULL,0,NULL,1,Other Issue,0,NULL,0,0,0
500131,13-01-2024,20:00:00,CNR4904464,Cancelled by Driver,737846,Prime Sedan,Area-5,Area-6,0,0,0,NULL,1,Customer related issue,0,NULL,0,NULL,0,0,0
500121,03-01-2024,19:00:00,CNR1657352,Success,835869,Prime SUV,Area-28,Area-7,3.17,19.99,0,NULL,0,NULL,0,NULL,888.64,Card,44.01,4.1,4.7
500176,18-01-2024,15:00:00,CNR3440463,Success,972176,Auto,Area-31,Area-5,2.62,13.52,0,NULL,0,NULL,0,NULL,166.96,UPI,37.48,3.7,3.3
500144,29-01-2024,14:00:00,CNR1367879,Success,632060,Bike,Area-23,Area-7,5.04,20.05,0,NULL,0,NULL,0,NULL,766.74,UPI,11.99,3.2,4.7
500159,25-01-2024,11:00:00,CNR2457665,Success,130359,Prime Sedan,Area-43,Area-45,4.43,21.38,0,NULL,0,NULL,0,NULL,1746.23,Wallet,16.14,3.7,3
500157,03-01-2024,23:00:00,CNR1607243,Success,695164,Prime SUV,Area-47,Area-21,12.33,26.62,0,NULL,0,NULL,0,NULL,209.08,Wallet,8.62,4.5,3.1
500193,29-01-2024,05:00:00,CNR4642531,Cancelled by Customer,799539,Bike,Area-38,Area-32,0,0,1,AC is not working,0,NULL,0,NULL,0,NULL,0,0,0
500194,02-01-2024,22:00:00,CNR2902977,Success,883301,Mini,Area-8,Area-1,9.18,4.75,0,NULL,0,NULL,0,NULL,1352.69,UPI,27.1,3.5,4.1
500169,04-01-2024,01:00:00,CNR3744034,Success,220768,Prime Sedan,Area-41,Area-27,8.7,29.02,0,NULL,0,NULL,0,NULL,1394.74,UPI,9.42,4.9,3.9
500109,04-01-2024,18:00:00,CNR4144087,Success,635280,Auto,Area-50,Area-11,13.03,16.39,0,NULL,0,NULL,0,NULL,1918.54,Card,10.5,4.6,3.7
500138,11-01-2024,01:00:00,CNR1211709,Success,896788,Bike,Area-30,Area-49,12.01,20.75,0,NULL,0,NULL,0,NULL,680.26,UPI,44.22,4.3,5
500154,07-01-2024,10:00:00,CNR4467530,Success,972097,Prime Sedan,Area-3,Area-4,6.45,19.7,0,NULL,0,NULL,0,NULL,799.74,Cash,48.89,3.2,4.2
500181,20-01-2024,04:00:00,CNR9516594,Cancelled by Driver,629057,Auto,Area-22,Area-46,0,0,0,NULL,1,Customer related issue,0,NULL,0,NULL,0,0,0
500189,02-01-2024,16:00:00,CNR2445132,Success,154909,Bike,Area-22,Area-44,16,19.77,0,NULL,0,NULL,0,NULL,604.09,Card,4.23,3.2,4.4
500109,15-01-2024,05:00:00,CNR0693661,Cancelled by Customer,494976,Bike,Area-6,Area-20,0,0,1,AC is not working,0,NULL,0,NULL,0,NULL,0,0,0
500137,06-01-2024,10:00:00,CNR6876564,Success,324597,Prime Plus,Area-24,Area-20,7.49,23.22,0,NULL,0,NULL,0,NULL,626.79,Cash,10.41,5,3.3
500111,22-01-2024,15:00:00,CNR7880371,Success,826501,Prime SUV,Area-11,Area-12,15.65,24.46,0,NULL,0,NULL,0,NULL,1368.91,Card,9.11,3.9,3.8
500173,19-01-2024,22:00:00,CNR6772297,Cancelled by Driver,698128,eBike,Area-13,Area-24,0,0,0,NULL,1,More than permitted people in there,0,NULL,0,NULL,0,0,0
500185,20-01-2024,16:00:00,CNR7754116,Cancelled by Driver,489244,Mini,Area-4,Area-42,0,0,0,NULL,1,Personal & Car related issues,0,NULL,0,NULL,0,0,0
500123,23-01-2024,00:00:00,CNR8272914,Incomplete,127965,Prime Sedan,Area-15,Area-29,0,0,0,NULL,0,NULL,1,Vehicle Breakdown,0,NULL,0,0,0
500172,03-01-2024,06:00:00,CNR3330230,Cancelled by Customer,140163,Prime Plus,Area-22,Area-10,0,0,1,AC is not working,0,NULL,0,NULL,0,NULL,0,0,0
500106,21-01-2024,03:00:00,CNR6174002,Cancelled by Driver,653408,Bike,Area-36,Area-47,0,0,0,NULL,1,More than permitted people in there,0,NULL,0,NULL,0,0,0
500122,05-01-2024,17:00:00,CNR7212660,Cancelled by Driver,117233,Bike,Area-32,Area-39,0,0,0,NULL,1,Customer related issue,0,NULL,0,NULL,0,0,0
500188,07-01-2024,03:00:00,CNR2035165,Success,924613,Bike,Area-34,Area-35,19.78,17.07,0,NULL,0,NULL,0,NULL,1963.03,UPI,20.13,3.9,4.3
500187,01-01-2024,16:00:00,CNR3026157,Success,953025,Prime Sedan,Area-23,Area-35,13.21,25.08,0,NULL,0,NULL,0,NULL,405.44,Card,34.55,5,4
500178,03-01-2024,16:00:00,CNR7902783,Success,365618,Mini,Area-26,Area-35,1.7,19.76,0,NULL,0,NULL,0,NULL,1328.68,UPI,15.02,4.7,3.1
500154,06-01-2024,07:00:00,CNR7444931,Cancelled by Customer,940064,Prime Sedan,Area-24,Area-34,0,0,1,Driver is not moving towards pickup location,0,NULL,0,NULL,0,NULL,0,0,0
500162,19-01-2024,02:00:00,CNR0685306,Success,274739,Mini,Area-39,Area-46,14.11,11.19,0,NULL,0,NULL,0,NULL,1996.39,UPI,3.08,4.7,3.7
500131,28-01-2024,06:00:00,CNR9906386,Incomplete,919264,eBike,Area-10,Area-39,0,0,0,NULL,0,NULL,1,Vehicle Breakdown,0,NULL,0,0,0
500132,02-01-2024,11:00:00,CNR1263901,Success,900152,Mini,Area-24,Area-24,2.46,4.99,0,NULL,0,NULL,0,NULL,1923.01,Cash,18.98,3.6,3.6
500167,08-01-2024,22:00:00,CNR4352249,Success,242321,Auto,Area-32,Area-13,17.2,14.11,0,NULL,0,NULL,0,NULL,1379.76,UPI,45.04,3.9,3.2
500118,29-01-2024,11:00:00,CNR3058879,Success,227257,Prime Plus,Area-24,Area-33,19.72,23.97,0,NULL,0,NULL,0,NULL,1165.94,Wallet,12.6,4,3.7
500121,24-01-2024,12:00:00,CNR1803744,Success,432427,Prime Plus,Area-37,Area-5,13.2,14.05,0,NULL,0,NULL,0,NULL,1571.51,Card,34.33,3.7,4.8
500157,06-01-2024,12:00:00,CNR4901113,Cancelled by Customer,987025,Prime Sedan,Area-23,Area-34,0,0,1,Driver is not moving towards pickup location,0,NULL,0,NULL,0,NULL,0,0,0
500112,11-01-2024,16:00:00,CNR1926606,Success,790731,Prime Plus,Area-38,Area-10,12.87,27.16,0,NULL,0,NULL,0,NULL,1734.37,Cash,17.54,4.8,3.1
500176,02-01-2024,22:00:00,CNR9722560,Cancelled by Driver,416768,eBike,Area-35,Area-19,0,0,0,NULL,1,More than permitted people in there,0,NULL,0,NULL,0,0,0
500156,11-01-2024,10:00:00,CNR8620044,Success,853258,Prime Sedan,Area-39,Area-10,7.07,29.65,0,NULL,0,NULL,0,NULL,1054.21,Cash,17.92,3.8,4.5
500174,14-01-2024,14:00:00,CNR2141098,Success,856157,Bike,Area-11,Area-21,6.94,23.13,0,NULL,0,NULL,0,NULL,651.65,Cash,25.42,4,4
500102,04-01-2024,20:00:00,CNR9592304,Cancelled by Driver,399628,Mini,Area-42,Area-44,0,0,0,NULL,1,Personal & Car related issues,0,NULL,0,NULL,0,0,0
500179,05-01-2024,14:00:00,CNR4877345,Success,505116,Auto,Area-36,Area-19,10.58,23.17,0,NULL,0,NULL,0,NULL,281.68,Cash,14.71,5,4.4
500127,17-01-2024,19:00:00,CNR3953164,Success,449218,eBike,Area-3,Area-9,16.28,16.06,0,NULL,0,NULL,0,NULL,1866.17,UPI,8.3,4.8,3.3
500146,07-01-2024,22:00:00,CNR3685554,Success,447329,Prime Sedan,Area-31,Area-2,13.8,29.42,0,NULL,0,NULL,0,NULL,1391.69,Cash,29.6,4.6,4.5
500129,26-01-2024,11:00:00,CNR4977575,Success,912233,Bike,Area-41,Area-47,16.98,5.29,0,NULL,0,NULL,0,NULL,264.3,Cash,34.36,3.1,4.9
500109,19-01-2024,19:00:00,CNR3164798,Cancelled by Customer,643878,Prime Plus,Area-4,Area-46,0,0,1,Driver asked to cancel,0,NULL,0,NULL,0,NULL,0,0,0
500102,24-01-2024,22:00:00,CNR3653193,Success,774558,eBike,Area-50,Area-47,16.27,8.67,0,NULL,0,NULL,0,NULL,632.07,UPI,24.72,4.9,3.6
500166,13-01-2024,07:00:00,CNR7644597,Success,498138,Bike,Area-37,Area-44,18.02,12.44,0,NULL,0,NULL,0,NULL,132.03,Cash,17.91,4.5,3.3
500197,15-01-2024,18:00:00,CNR9672825,Success,715336,eBike,Area-7,Area-40,5.55,2.47,0,NULL,0,NULL,0,NULL,245.39,UPI,45.35,3.5,3.5
500131,21-01-2024,03:00:00,CNR1705949,Cancelled by Driver,892630,Prime Plus,Area-31,Area-42,0,0,0,NULL,1,The customer was coughing/sick,0,NULL,0,NULL,0,0,0
500134,14-01-2024,16:00:00,CNR2076278,Success,284327,Prime SUV,Area-12,Area-27,18.74,2.05,0,NULL,0,NULL,0,NULL,1510.56,UPI,41.97,4.6,3.4
500111,02-01-2024,14:00:00,CNR0519295,Success,386090,Mini,Area-9,Area-33,4.66,4.27,0,NULL,0,NULL,0,NULL,413.09,UPI,8.96,3.9,3.5
500193,13-01-2024,14:00:00,CNR5718885,Success,247442,Prime Plus,Area-43,Area-7,10.07,28.14,0,NULL,0,NULL,0,NULL,570.64,UPI,1.33,3.8,3.9
500147,13-01-2024,21:00:00,CNR5523264,Success,907236,eBike,Area-44,Area-33,6.91,4.41,0,NULL,0,NULL,0,NULL,477.3,Card,45.89,3.6,4.2
500104,21-01-2024,09:00:00,CNR1764545,Success,813390,Prime Plus,Area-14,Area-49,15.34,26.32,0,NULL,0,NULL,0,NULL,202.3,Cash,5.01,3.9,4.4
500101,03-01-2024,15:00:00,CNR8925184,Cancelled by Customer,195359,Mini,Area-46,Area-38,0,0,1,Wrong Address,0,NULL,0,NULL,0,NULL,0,0,0
500194,20-01-2024,00:00:00,CNR8454048,Cancelled by Customer,103161,Prime SUV,Area-26,Area-17,0,0,1,Driver asked to cancel,0,NULL,0,NULL,0,NULL,0,0,0
500185,25-01-2024,16:00:00,CNR0475089,Success,906325,Prime Plus,Area-19,Area-27,3.57,19.6,0,NULL,0,NULL,0,NULL,1788.1,Wallet,36.74,4.9,3.7
500141,17-01-2024,02:00:00,CNR3665631,Success,333507,eBike,Area-34,Area-9,16.86,22.93,0,NULL,0,NULL,0,NULL,877.05,Wallet,48.95,3.9,4.4
500153,10-01-2024,19:00:00,CNR2329718,Success,316092,Prime Plus,Area-50,Area-2,2.28,18.22,0,NULL,0,NULL,0,NULL,527.23,Cash,22.88,4.3,4.7
500140,18-01-2024,03:00:00,CNR4577192,Cancelled by Driver,726962,Bike,Area-37,Area-21,0,0,0,NULL,1,The customer was coughing/sick,0,NULL,0,NULL,0,0,0
500135,11-01-2024,02:00:00,CNR3162309,Cancelled by Driver,547952,eBike,Area-12,Area-41,0,0,0,NULL,1,More than permitted people in there,0,NULL,0,NULL,0,0,0
500168,03-01-2024,00:00:00,CNR9967341,Success,352673,Mini,Area-49,Area-35,17.14,9.72,0,NULL,0,NULL,0,NULL,1146.65,Wallet,35.67,4.6,4.8
500160,24-01-2024,18:00:00,CNR5323043,Success,495489,Prime Sedan,Area-13,Area-4,13.8,18.48,0,NULL,0,NULL,0,NULL,1462.4,Card,43.81,3.4,4.5
500199,21-01-2024,10:00:00,CNR2939217,Cancelled by Driver,829417,Prime Plus,Area-49,Area-31,0,0,0,NULL,1,Customer related issue,0,NULL,0,NULL,0,0,0
500157,17-01-2024,22:00:00,CNR9573532,Success,941814,Auto,Area-32,Area-30,19.65,14.62,0,NULL,0,NULL,0,NULL,857.16,Card,42.15,4.8,3.7
500191,07-01-2024,05:00:00,CNR0557212,Success,786406,Bike,Area-16,Area-32,18.93,10.79,0,NULL,0,NULL,0,NULL,1492.21,Wallet,38.4,4,4.4
500196,08-01-2024,04:00:00,CNR7315189,Incomplete,987826,Prime SUV,Area-34,Area-3,0,0,0,NULL,0,NULL,1,Customer Demand,0,NULL,0,0,0
500104,29-01-2024,12:00:00,CNR0016012,Success,799143,eBike,Area-4,Area-40,18.74,27.47,0,NULL,0,NULL,0,NULL,852.11,Cash,33.3,3,4.1
500117,23-01-2024,14:00:00,CNR7525649,Success,352674,Prime Plus,Area-7,Area-34,4.65,16.27,0,NULL,0,NULL,0,NULL,777.45,Wallet,40.95,3.5,3.8
500134,20-01-2024,14:00:00,CNR5926868,Cancelled by Driver,495490,Mini,Area-6,Area-26,0,0,0,NULL,1,More than permitted people in there,0,NULL,0,NULL,0,0,0
500149,03-01-2024,09:00:00,CNR6708639,Incomplete,321686,Prime Plus,Area-34,Area-3,0,0,0,NULL,0,NULL,1,Other Issue,0,NULL,0,0,0
500176,25-01-2024,04:00:00,CNR4009850,Cancelled by Driver,715551,Prime Plus,Area-21,Area-2,0,0,0,NULL,1,Customer related issue,0,NULL,0,NULL,0,0,0
500164,17-01-2024,23:00:00,CNR9255865,Success,822794,Prime SUV,Area-48,Area-9,14.76,15.52,0,NULL,0,NULL,0,NULL,1685.42,UPI,48.74,3.1,3.9
500173,26-01-2024,19:00:00,CNR7937029,Success,552825,Mini,Area-23,Area-36,4.53,17.99,0,NULL,0,NULL,0,NULL,530.58,Cash,19.62,4.5,3.6
500187,04-01-2024,12:00:00,CNR2371330,Incomplete,382870,Prime SUV,Area-29,Area-24,0,0,0,NULL,0,NULL,1,Customer Demand,0,NULL,0,0,0
500152,06-01-2024,15:00:00,CNR0455105,Success,406024,Auto,Area-21,Area-25,8.86,23.6,0,NULL,0,NULL,0,NULL,523.35,Card,36.52,4.1,5
500131,30-01-2024,05:00:00,CNR3134044,Success,358568,Prime Sedan,Area-5,Area-24,14.7,15.38,0,NULL,0,NULL,0,NULL,63.2,Wallet,31.22,3.9,3.3
500110,15-01-2024,04:00:00,CNR8384486,Success,829066,Bike,Area-20,Area-21,4.82,10.11,0,NULL,0,NULL,0,NULL,1405.17,Wallet,48.26,4.9,3.6
500168,25-01-2024,13:00:00,CNR7327391,Incomplete,676820,Prime SUV,Area-12,Area-44,0,0,0,NULL,0,NULL,1,Customer Demand,0,NULL,0,0,0
500154,20-01-2024,16:00:00,CNR9278087,Cancelled by Customer,353777,Prime Sedan,Area-9,Area-41,0,0,1,AC is not working,0,NULL,0,NULL,0,NULL,0,0,0
500155,29-01-2024,02:00:00,CNR1434555,Cancelled by Driver,138551,Bike,Area-45,Area-27,0,0,0,NULL,1,The customer was coughing/sick,0,NULL,0,NULL,0,0,0
500163,30-01-2024,22:00:00,CNR8560763,Success,810380,eBike,Area-3,Area-37,13.29,29.04,0,NULL,0,NULL,0,NULL,242.28,Card,17.25,4.6,3.2
500178,22-01-2024,18:00:00,CNR7562346,Cancelled by Customer,606222,Auto,Area-10,Area-23,0,0,1,Driver is not moving towards pickup location,0,NULL,0,NULL,0,NULL,0,0,0
500163,13-01-2024,14:00:00,CNR4919134,Success,202365,Mini,Area-31,Area-23,9.33,21.21,0,NULL,0,NULL,0,NULL,274.42,UPI,16.63,3.6,4.6
500160,28-01-2024,15:00:00,CNR1897553,Success,524723,Prime SUV,Area-30,Area-15,12.97,6.41,0,NULL,0,NULL,0,NULL,1772.04,Wallet,33.21,3.8,4.5
